size,threads,num_chunks,mean,min
100000,1,1,870.7,858
100000,2,1,647.0,518
100000,4,1,321.5,294
100000,8,1,305.4,217
100000,16,1,322.1,241
100000,24,1,321.7,246
10000000,1,1,52172.3,51158
10000000,2,1,26844.0,26687
10000000,4,1,14326.1,14222
10000000,8,1,8916.7,8115
10000000,16,1,6556.1,5566
10000000,24,1,5778.0,5305
1000000000,1,1,5919139.8,5857605
1000000000,2,1,3255260.4,3237449
1000000000,4,1,1815513.6,1804308
1000000000,8,1,1063749.6,1060619
1000000000,16,1,684563.0,675066
1000000000,24,1,602544.3,587651
