size,threads,num_chunks,mean,min
100000,1,2,794.0,696
100000,2,2,435.9,396
100000,4,2,259.9,245
100000,8,2,211.7,183
100000,16,2,374.1,309
100000,24,2,463.7,409
10000000,1,2,36396.1,35889
10000000,2,2,19692.7,19385
10000000,4,2,11354.2,10523
10000000,8,2,6447.7,6242
10000000,16,2,5367.5,4626
10000000,24,2,4721.4,4302
1000000000,1,2,4256682.0,4242708
1000000000,2,2,2269742.2,2260727
1000000000,4,2,1351024.4,1337666
1000000000,8,2,748990.9,720864
1000000000,16,2,538407.5,512057
1000000000,24,2,483488.5,462277
