size,threads,num_chunks,mean,min
100000,1,0,1196.0,893
100000,2,0,622.4,511
100000,4,0,412.9,326
100000,8,0,335.2,266
100000,16,0,535.1,459
100000,24,0,823.2,723
10000000,1,0,47637.1,47194
10000000,2,0,25862.8,25439
10000000,4,0,13945.1,13737
10000000,8,0,8165.7,7982
10000000,16,0,6175.0,5968
10000000,24,0,5250.3,5168
1000000000,1,0,5499830.2,5480179
1000000000,2,0,3117850.4,3105900
1000000000,4,0,1635649.8,1596971
1000000000,8,0,925629.7,888467
1000000000,16,0,622191.1,589586
1000000000,24,0,544586.2,526958
