size,threads,num_chunks,mean,min
100000,1,1,1143.9,936
100000,2,1,607.6,516
100000,4,1,457.8,325
100000,8,1,376.1,299
100000,16,1,349.4,284
100000,24,1,416.3,347
10000000,1,1,50768.7,50379
10000000,2,1,27269.1,27048
10000000,4,1,17855.5,14683
10000000,8,1,13170.9,8386
10000000,16,1,9236.0,8611
10000000,24,1,7764.5,7192
1000000000,1,1,5833324.9,5824430
1000000000,2,1,3293198.1,3282312
1000000000,4,1,1808914.4,1796444
1000000000,8,1,1046008.2,1036895
1000000000,16,1,857754.0,831845
1000000000,24,1,720545.2,597245
