run,input_size,threads,num_chunks,,copied_elements,duration_us
4,1000000000,2,2,2,23813338,3307620
5,1000000000,2,2,2,23813338,3304151
6,1000000000,2,2,2,23813338,3320545
7,1000000000,2,2,2,23813338,3299696
8,1000000000,2,2,2,23813338,3312047
9,1000000000,2,2,2,23813338,3289461
10,1000000000,2,2,2,23813338,3288463
1,100000,4,0,0,2343,376
2,100000,4,0,0,2343,414
3,100000,4,0,0,2343,545
4,100000,4,0,0,2343,454
5,100000,4,0,0,2343,326
6,100000,4,0,0,2343,349
7,100000,4,0,0,2343,449
8,100000,4,0,0,2343,532
9,100000,4,0,0,2343,339
10,100000,4,0,0,2343,345
1,100000,4,1,1,2343,516
2,100000,4,1,1,2343,700
3,100000,4,1,1,2343,582
4,100000,4,1,1,2343,554
5,100000,4,1,1,2343,330
6,100000,4,1,1,2343,325
7,100000,4,1,1,2343,429
8,100000,4,1,1,2343,444
9,100000,4,1,1,2343,367
10,100000,4,1,1,2343,331
1,100000,4,2,2,2343,406
2,100000,4,2,2,2343,473
3,100000,4,2,2,2343,510
4,100000,4,2,2,2343,417
5,100000,4,2,2,2343,335
6,100000,4,2,2,2343,349
7,100000,4,2,2,2343,363
8,100000,4,2,2,2343,340
9,100000,4,2,2,2343,345
10,100000,4,2,2,2343,467
1,10000000,4,0,0,237619,14075
2,10000000,4,0,0,237619,13857
3,10000000,4,0,0,237619,14016
4,10000000,4,0,0,237619,13797
5,10000000,4,0,0,237619,13813
6,10000000,4,0,0,237619,13914
7,10000000,4,0,0,237619,13737
8,10000000,4,0,0,237619,14197
9,10000000,4,0,0,237619,14198
10,10000000,4,0,0,237619,13847
1,10000000,4,1,1,237619,20193
2,10000000,4,1,1,237619,17213
3,10000000,4,1,1,237619,20639
4,10000000,4,1,1,237619,18241
5,10000000,4,1,1,237619,15529
6,10000000,4,1,1,237619,18340
7,10000000,4,1,1,237619,14683
8,10000000,4,1,1,237619,18073
9,10000000,4,1,1,237619,17565
10,10000000,4,1,1,237619,18079
1,10000000,4,2,2,237619,14825
2,10000000,4,2,2,237619,14718
3,10000000,4,2,2,237619,14606
4,10000000,4,2,2,237619,14799
5,10000000,4,2,2,237619,14825
6,10000000,4,2,2,237619,14844
7,10000000,4,2,2,237619,14658
8,10000000,4,2,2,237619,14581
9,10000000,4,2,2,237619,14676
10,10000000,4,2,2,237619,14644
1,1000000000,4,0,0,23813338,1659663
2,1000000000,4,0,0,23813338,1606451
3,1000000000,4,0,0,23813338,1648493
4,1000000000,4,0,0,23813338,1671897
5,1000000000,4,0,0,23813338,1648356
6,1000000000,4,0,0,23813338,1648824
7,1000000000,4,0,0,23813338,1607899
8,1000000000,4,0,0,23813338,1667093
9,1000000000,4,0,0,23813338,1596971
10,1000000000,4,0,0,23813338,1600851
1,1000000000,4,1,1,23813338,1847677
2,1000000000,4,1,1,23813338,1805674
3,1000000000,4,1,1,23813338,1808156
4,1000000000,4,1,1,23813338,1809681
5,1000000000,4,1,1,23813338,1802573
6,1000000000,4,1,1,23813338,1801025
7,1000000000,4,1,1,23813338,1805551
8,1000000000,4,1,1,23813338,1813034
9,1000000000,4,1,1,23813338,1796444
10,1000000000,4,1,1,23813338,1799329
1,1000000000,4,2,2,23813338,1739604
2,1000000000,4,2,2,23813338,1740882
3,1000000000,4,2,2,23813338,1788806
4,1000000000,4,2,2,23813338,1698298
5,1000000000,4,2,2,23813338,1797026
6,1000000000,4,2,2,23813338,1738953
7,1000000000,4,2,2,23813338,1739245
8,1000000000,4,2,2,23813338,1782967
9,1000000000,4,2,2,23813338,1651145
10,1000000000,4,2,2,23813338,1717209
1,100000,8,0,0,2343,266
2,100000,8,0,0,2343,283
3,100000,8,0,0,2343,274
4,100000,8,0,0,2343,275
5,100000,8,0,0,2343,354
6,100000,8,0,0,2343,399
7,100000,8,0,0,2343,278
8,100000,8,0,0,2343,304
9,100000,8,0,0,2343,396
10,100000,8,0,0,2343,523
1,100000,8,1,1,2343,392
2,100000,8,1,1,2343,343
3,100000,8,1,1,2343,299
4,100000,8,1,1,2343,346
5,100000,8,1,1,2343,403
6,100000,8,1,1,2343,364
7,100000,8,1,1,2343,440
8,100000,8,1,1,2343,472
9,100000,8,1,1,2343,334
10,100000,8,1,1,2343,368
1,100000,8,2,2,2343,379
2,100000,8,2,2,2343,286
3,100000,8,2,2,2343,351
4,100000,8,2,2,2343,262
5,100000,8,2,2,2343,239
6,100000,8,2,2,2343,258
7,100000,8,2,2,2343,270
8,100000,8,2,2,2343,309
9,100000,8,2,2,2343,263
10,100000,8,2,2,2343,336
1,10000000,8,0,0,237619,8295
2,10000000,8,0,0,237619,8651
3,10000000,8,0,0,237619,7982
4,10000000,8,0,0,237619,8178
5,10000000,8,0,0,237619,8270
6,10000000,8,0,0,237619,8004
7,10000000,8,0,0,237619,8076
8,10000000,8,0,0,237619,8018
9,10000000,8,0,0,237619,7995
10,10000000,8,0,0,237619,8188
1,10000000,8,1,1,237619,13101
2,10000000,8,1,1,237619,13004
3,10000000,8,1,1,237619,14365
4,10000000,8,1,1,237619,8386
5,10000000,8,1,1,237619,14487
6,10000000,8,1,1,237619,12939
7,10000000,8,1,1,237619,14387
8,10000000,8,1,1,237619,14309
9,10000000,8,1,1,237619,12996
10,10000000,8,1,1,237619,13735
1,10000000,8,2,2,237619,9016
2,10000000,8,2,2,237619,8570
3,10000000,8,2,2,237619,8415
4,10000000,8,2,2,237619,8604
5,10000000,8,2,2,237619,8460
6,10000000,8,2,2,237619,8442
7,10000000,8,2,2,237619,9303
8,10000000,8,2,2,237619,11398
9,10000000,8,2,2,237619,8466
10,10000000,8,2,2,237619,8435
1,1000000000,8,0,0,23813338,888467
2,1000000000,8,0,0,23813338,936219
3,1000000000,8,0,0,23813338,936287
4,1000000000,8,0,0,23813338,941938
5,1000000000,8,0,0,23813338,932827
6,1000000000,8,0,0,23813338,936560
7,1000000000,8,0,0,23813338,934341
8,1000000000,8,0,0,23813338,932614
9,1000000000,8,0,0,23813338,911465
10,1000000000,8,0,0,23813338,905579
1,1000000000,8,1,1,23813338,1047518
2,1000000000,8,1,1,23813338,1047059
3,1000000000,8,1,1,23813338,1042572
