size,threads,num_chunks,mean,min
100000,1,1,951.6,897
100000,2,1,664.1,600
100000,4,1,569.1,445
100000,8,1,612.2,511
100000,16,1,1156.0,1117
100000,24,1,1760.6,1367
10000000,1,1,52693.9,52127
10000000,2,1,27086.0,26773
10000000,4,1,16982.0,14371
10000000,8,1,12151.7,8517
10000000,16,1,9353.5,9123
10000000,24,1,7660.5,6988
1000000000,1,1,5962350.7,5852279
1000000000,2,1,3283711.7,3251759
1000000000,4,1,1829291.7,1813678
1000000000,8,1,1073028.9,1062951
1000000000,16,1,837736.9,725293
1000000000,24,1,755279.9,626763
