run,input_size,threads,num_chunks,,copied_elements,duration_us
4,1000000000,2,2,2,23813338,3286651
5,1000000000,2,2,2,23813338,3265815
6,1000000000,2,2,2,23813338,3276004
7,1000000000,2,2,2,23813338,3305896
8,1000000000,2,2,2,23813338,3278352
9,1000000000,2,2,2,23813338,3297867
10,1000000000,2,2,2,23813338,3279294
1,100000,4,0,0,2343,654
2,100000,4,0,0,2343,609
3,100000,4,0,0,2343,652
4,100000,4,0,0,2343,617
5,100000,4,0,0,2343,990
6,100000,4,0,0,2343,595
7,100000,4,0,0,2343,661
8,100000,4,0,0,2343,686
9,100000,4,0,0,2343,663
10,100000,4,0,0,2343,664
1,100000,4,1,1,2343,569
2,100000,4,1,1,2343,674
3,100000,4,1,1,2343,445
4,100000,4,1,1,2343,677
5,100000,4,1,1,2343,779
6,100000,4,1,1,2343,674
7,100000,4,1,1,2343,459
8,100000,4,1,1,2343,482
9,100000,4,1,1,2343,450
10,100000,4,1,1,2343,482
1,100000,4,2,2,2343,574
2,100000,4,2,2,2343,739
3,100000,4,2,2,2343,519
4,100000,4,2,2,2343,564
5,100000,4,2,2,2343,500
6,100000,4,2,2,2343,508
7,100000,4,2,2,2343,597
8,100000,4,2,2,2343,493
9,100000,4,2,2,2343,558
10,100000,4,2,2,2343,526
1,10000000,4,0,0,237619,14765
2,10000000,4,0,0,237619,15197
3,10000000,4,0,0,237619,14740
4,10000000,4,0,0,237619,14711
5,10000000,4,0,0,237619,16981
6,10000000,4,0,0,237619,14773
7,10000000,4,0,0,237619,16569
8,10000000,4,0,0,237619,14593
9,10000000,4,0,0,237619,14810
10,10000000,4,0,0,237619,14704
1,10000000,4,1,1,237619,20778
2,10000000,4,1,1,237619,14371
3,10000000,4,1,1,237619,14415
4,10000000,4,1,1,237619,20653
5,10000000,4,1,1,237619,14389
6,10000000,4,1,1,237619,14784
7,10000000,4,1,1,237619,20755
8,10000000,4,1,1,237619,20774
9,10000000,4,1,1,237619,14524
10,10000000,4,1,1,237619,14377
1,10000000,4,2,2,237619,14611
2,10000000,4,2,2,237619,14564
3,10000000,4,2,2,237619,14482
4,10000000,4,2,2,237619,18165
5,10000000,4,2,2,237619,14403
6,10000000,4,2,2,237619,14619
7,10000000,4,2,2,237619,14649
8,10000000,4,2,2,237619,14413
9,10000000,4,2,2,237619,14428
10,10000000,4,2,2,237619,14499
1,1000000000,4,0,0,23813338,1711660
2,1000000000,4,0,0,23813338,1703538
3,1000000000,4,0,0,23813338,1669262
