size,threads,num_chunks,mean,min
100000,1,1,706.6,618
100000,2,1,539.8,385
100000,4,1,238.8,224
100000,8,1,253.9,207
100000,16,1,287.0,230
100000,24,1,354.9,298
10000000,1,1,38314.4,36881
10000000,2,1,20196.4,19904
10000000,4,1,12493.5,10726
10000000,8,1,7791.9,7008
10000000,16,1,7348.9,7023
10000000,24,1,7201.7,5776
1000000000,1,1,4396461.6,4316876
1000000000,2,1,2582195.5,2559788
1000000000,4,1,1466772.2,1454970
1000000000,8,1,881198.7,847995
1000000000,16,1,710257.3,649912
1000000000,24,1,679771.6,594370
